voice,table,dimension,band,notes,seconds,share_of_sung_time,songs
mitton,dimension,fo against fR1,open,1603,915.0,65.5%,16
mitton,dimension,fo against fR1,close,810,449.6,32.2%,16
mitton,dimension,fo against fR1,crossing,6,2.0,0.1%,4
mitton,dimension,fo against fR1,above,4,4.9,0.3%,3
mitton,dimension,fo against fR1,not assessed,50,24.6,1.8%,9
mitton,dimension,Harmonic rung at fR1 (n = 3 to 5),n = 3,132,79.4,5.7%,15
mitton,dimension,Harmonic rung at fR1 (n = 3 to 5),n = 4,50,26.0,1.9%,13
mitton,dimension,Harmonic rung at fR1 (n = 3 to 5),n = 5,4,1.4,0.1%,4
mitton,dimension,Harmonic rung at fR1 (n = 3 to 5),none,2237,1264.7,90.6%,16
mitton,dimension,Harmonic rung at fR1 (n = 3 to 5),not assessed,50,24.6,1.8%,9
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 3,28,13.9,1.0%,10
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 4,141,83.7,6.0%,15
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 5,164,102.9,7.4%,16
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 6,152,85.7,6.1%,16
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 7,119,55.7,4.0%,16
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),n = 8,98,46.6,3.3%,16
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),none,1721,983.0,70.4%,16
mitton,dimension,Harmonic rung at fR2 (n = 1 to 8),not assessed,50,24.6,1.8%,9
mitton,dimension,Passaggio,inside,1061,623.7,44.7%,16
mitton,dimension,Passaggio,outside,1362,747.8,53.6%,16
mitton,dimension,Passaggio,not assessed,50,24.6,1.8%,9
mitton,dimension,Range,in-range,2423,1371.5,98.2%,16
mitton,dimension,Range,not assessed,50,24.6,1.8%,9
mitton,dimension,Sustained ceiling exposure,not exposed,2423,1371.5,98.2%,16
mitton,dimension,Sustained ceiling exposure,not assessed,50,24.6,1.8%,9
mitton,dimension,Vowel,i,359,181.4,13.0%,16
mitton,dimension,Vowel,ɪ,174,72.3,5.2%,16
mitton,dimension,Vowel,ɨ,202,103.6,7.4%,16
mitton,dimension,Vowel,e,99,76.0,5.4%,16
mitton,dimension,Vowel,ɛ,136,104.9,7.5%,16
mitton,dimension,Vowel,a,21,14.5,1.0%,8
mitton,dimension,Vowel,ɑ,647,344.1,24.7%,16
mitton,dimension,Vowel,ʌ,171,73.6,5.3%,16
mitton,dimension,Vowel,o,329,237.1,17.0%,16
mitton,dimension,Vowel,u,285,163.8,11.7%,16
mitton,dimension,Vowel,no vowel resolved,50,24.6,1.8%,9
mitton,dimension,Held or short (over the tie chain; the regions use this),held,45,87.5,6.3%,7
mitton,dimension,Held or short (over the tie chain; the regions use this),short,2428,1308.5,93.7%,16
mitton,dimension,"Held or short, per event (the overlay engine's own reading, for comparison)",held,14,44.2,3.2%,4
mitton,dimension,"Held or short, per event (the overlay engine's own reading, for comparison)",short,2459,1351.9,96.8%,16
mitton,dimension,Approach,repeated,496,228.3,16.4%,16
mitton,dimension,Approach,step,1023,590.3,42.3%,16
mitton,dimension,Approach,leap-up,414,300.1,21.5%,16
mitton,dimension,Approach,leap-down,427,211.1,15.1%,16
mitton,dimension,Approach,tie,97,57.8,4.1%,14
mitton,dimension,Approach,first note,16,8.4,0.6%,16
mitton,dimension,Approach after a rest,after a rest,175,91.9,6.6%,16
mitton,dimension,Approach after a rest,no rest before,2282,1295.7,92.8%,16
mitton,dimension,Approach after a rest,first note,16,8.4,0.6%,16
mitton,dimension,Position in the phrase,first,206,106.4,7.6%,16
mitton,dimension,Position in the phrase,middle,2060,1183.2,84.8%,16
mitton,dimension,Position in the phrase,last,206,105.0,7.5%,16
mitton,dimension,Position in the phrase,only,1,1.5,0.1%,1
mitton,dimension,Length of the phrase,under 2 s,143,58.0,4.2%,7
mitton,dimension,Length of the phrase,2 to 4 s,342,154.9,11.1%,12
mitton,dimension,Length of the phrase,4 to 6 s,325,163.8,11.7%,10
mitton,dimension,Length of the phrase,6 to 8 s,276,154.8,11.1%,10
mitton,dimension,Length of the phrase,8 to 12 s,560,288.0,20.6%,12
mitton,dimension,Length of the phrase,12 s or more,827,576.4,41.3%,10
mitton,dimension,"Position in the piece, cumulative phonation",under 30 s,892,474.2,34.0%,16
mitton,dimension,"Position in the piece, cumulative phonation",30 to 60 s,852,448.2,32.1%,15
mitton,dimension,"Position in the piece, cumulative phonation",60 to 90 s,567,321.8,23.0%,15
mitton,dimension,"Position in the piece, cumulative phonation",90 to 120 s,121,96.3,6.9%,5
mitton,dimension,"Position in the piece, cumulative phonation",120 to 180 s,41,55.6,4.0%,2
mitton,dimension,"Position in the piece, share of the song",first third,828,471.5,33.8%,16
mitton,dimension,"Position in the piece, share of the song",middle third,873,465.3,33.3%,16
mitton,dimension,"Position in the piece, share of the song",last third,772,459.2,32.9%,16
mitton,region,fR1 band x vowel x held or short x approach x range x passaggio,open x ɑ x short x step x in-range x outside,142,74.7,5.4%,16
mitton,region,fR1 band x vowel x held or short x approach x range x passaggio,open x ɑ x short x step x in-range x inside,121,61.8,4.4%,16
mitton,region,fR1 band x vowel x held or short x approach x range x passaggio,open x o x short x step x in-range x outside,63,51.0,3.7%,15
mitton,region,fR1 band x vowel x held or short x approach x range x passaggio,open x ɑ x short x leap-up x in-range x inside,76,48.8,3.5%,15
mitton,region,fR1 band x vowel x held or short x approach x range x passaggio,open x ɑ x short x repeated x in-range x outside,86,40.9,2.9%,15
