song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,1,2,1,A#3,58,o,Bozeman baritone midpoint,0.732,open,C4,-1.5,below primo,-1,-6,none,not assessed,short,first note,,,0,first,no,no,no,
Sunless 01,1,2,2,A#3,58,ɑ,Bozeman baritone midpoint,0.732,open,D#4,-4.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,1,2,3,A#3,58,ʌ,derived from Bozeman baritone,0.732,open,D#4,-4.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,1,2,4,B3,59,ɛ,Bozeman baritone midpoint,0.732,open,D4,-2.5,inside,0,-5,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase
Sunless 01,1,2,5,F#3,54,ɑ,Bozeman baritone midpoint,0.732,open,D#4,-8.5,below primo,-5,-10,none,not assessed,short,leap-down,-5,no,0,middle,no,no,no,
Sunless 01,1,2,6,F#3,54,ɑ,Bozeman baritone midpoint,0.366,open,D#4,-8.5,below primo,-5,-10,none,not assessed,short,repeated,0,no,0,last,no,no,no,
Sunless 01,1,3,1,C4,60,i,Bozeman baritone midpoint,0.732,close,E3,7.5,inside,1,-4,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase
Sunless 01,1,3,2,G#3,56,ɑ,Bozeman baritone midpoint,0.732,open,D#4,-6.5,below primo,-3,-8,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 01,1,3,3,G#3,56,ɑ,Bozeman baritone midpoint,0.366,open,D#4,-6.5,below primo,-3,-8,none,not assessed,short,repeated,0,no,1,last,no,no,no,
Sunless 01,1,3,4,D4,62,i,Bozeman baritone midpoint,1.098,close,E3,9.5,inside,3,-2,none,not assessed,short,leap-up,6,yes,2,first,yes,no,no,highest of phrase
Sunless 01,1,3,5.5,A#3,58,ɑ,Bozeman baritone midpoint,0.366,open,D#4,-4.5,below primo,-1,-6,none,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
Sunless 01,1,3,6,A#3,58,ɑ,Bozeman baritone midpoint,0.366,open,D#4,-4.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,2,last,no,no,no,
Sunless 01,1,4,1,B3,59,e,Bozeman baritone midpoint,0.732,open,C4,-0.5,inside,0,-5,none,not assessed,short,step,1,yes,3,first,yes,no,no,highest of phrase
Sunless 01,1,4,2,F3,53,ɪ,derived from Bozeman baritone,0.732,open,C4,-7.04,below primo,-6,-11,3,not assessed,short,leap-down,-6,no,3,middle,no,no,no,
