song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,-2,2,1,G3,55,o,Bozeman bass midpoint,0.732,open,A3,-2,below primo,-2,-7,none,not assessed,short,first note,,,0,first,no,no,no,
Sunless 01,-2,2,2,G3,55,ɑ,Bozeman bass midpoint,0.732,open,D#4,-7.5,below primo,-2,-7,3,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,-2,2,3,G3,55,ʌ,derived from Bozeman bass,0.732,open,D#4,-7.5,below primo,-2,-7,3,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,-2,2,4,G#3,56,ɛ,Bozeman bass midpoint,0.732,open,C4,-4.5,below primo,-1,-6,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase
Sunless 01,-2,2,5,D#3,51,ɑ,Bozeman bass midpoint,0.732,open,D#4,-11.5,below primo,-6,-11,4,not assessed,short,leap-down,-5,no,0,middle,no,no,no,
Sunless 01,-2,2,6,D#3,51,ɑ,Bozeman bass midpoint,0.366,open,D#4,-11.5,below primo,-6,-11,4,not assessed,short,repeated,0,no,0,last,no,no,no,
Sunless 01,-2,3,1,A3,57,i,Bozeman bass midpoint,0.732,close,D#3,6,inside,0,-5,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase
Sunless 01,-2,3,2,F3,53,ɑ,Bozeman bass midpoint,0.732,open,D#4,-9.5,below primo,-4,-9,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 01,-2,3,3,F3,53,ɑ,Bozeman bass midpoint,0.366,open,D#4,-9.5,below primo,-4,-9,none,not assessed,short,repeated,0,no,1,last,no,no,no,
Sunless 01,-2,3,4,B3,59,i,Bozeman bass midpoint,1.098,close,D#3,8,inside,2,-3,none,not assessed,short,leap-up,6,yes,2,first,yes,no,no,highest of phrase
Sunless 01,-2,3,5.5,G3,55,ɑ,Bozeman bass midpoint,0.366,open,D#4,-7.5,below primo,-2,-7,3,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
Sunless 01,-2,3,6,G3,55,ɑ,Bozeman bass midpoint,0.366,open,D#4,-7.5,below primo,-2,-7,3,not assessed,short,repeated,0,no,2,last,no,no,no,
Sunless 01,-2,4,1,G#3,56,e,Bozeman bass midpoint,0.732,open,A3,-1,below primo,-1,-6,none,not assessed,short,step,1,yes,3,first,yes,no,no,highest of phrase
Sunless 01,-2,4,2,D3,50,ɪ,derived from Bozeman bass,0.732,open,A#3,-7.54,below primo,-7,-12,none,not assessed,short,leap-down,-6,no,3,middle,no,no,no,
