song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,2,1,A4,69,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,8.5,inside,2,-5,none,not assessed,short,first note,,,0,first,no,no,no,
Sunless 01,12,2,2,A4,69,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,4.5,inside,2,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,12,2,3,A4,69,ʌ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,E4,4.5,inside,2,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,12,2,4,A#4,70,ɛ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D#4,7.5,inside,3,-4,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase
Sunless 01,12,2,5,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,0.5,below primo,-2,-9,none,not assessed,short,leap-down,-5,no,0,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,2,6,F4,65,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,0.5,below primo,-2,-9,none,not assessed,short,repeated,0,no,0,last,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,3,1,B4,71,i,Bozeman tenor-mezzo midpoint (stand-in),0.732,above,E3,18.5,inside,4,-3,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase
Sunless 01,12,3,2,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,2.5,inside,0,-7,none,not assessed,short,leap-down,-4,no,1,middle,no,yes,no,
Sunless 01,12,3,3,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,2.5,inside,0,-7,none,not assessed,short,repeated,0,no,1,last,no,yes,no,
Sunless 01,12,3,4,C#5,73,i,Bozeman tenor-mezzo midpoint (stand-in),1.098,above,E3,20.5,inside,6,-1,none,not assessed,short,leap-up,6,yes,2,first,yes,yes,yes,highest of phrase
Sunless 01,12,3,5.5,A4,69,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,4.5,inside,2,-5,none,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
Sunless 01,12,3,6,A4,69,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,4.5,inside,2,-5,none,not assessed,short,repeated,0,no,2,last,no,no,no,
Sunless 01,12,4,1,A#4,70,e,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D4,8.5,inside,3,-4,none,not assessed,short,step,1,yes,3,first,yes,no,no,highest of phrase
Sunless 01,12,4,2,E4,64,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,close,D4,1.96,below primo,-3,-10,none,not assessed,short,leap-down,-6,no,3,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,4,3,D4,62,o,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,C#4,1.5,below primo,-5,-12,none,not assessed,short,step,-2,no,3,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,12,4,4,A4,69,ɑ,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,E4,4.5,inside,2,-5,none,not assessed,short,leap-up,7,no,3,middle,no,no,no,
Sunless 01,12,4,5.5,E4,64,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-0.5,below primo,-3,-10,none,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,12,4,6,E4,64,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-0.5,below primo,-3,-10,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 01,12,5,1,G4,67,e,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D4,5.5,inside,0,-7,none,not assessed,short,leap-up,3,no,3,middle,no,yes,no,
Sunless 01,12,5,2,D4,62,ɪ,derived from Bozeman tenor-mezzo (stand-in),0.732,open,D4,-0.04,below primo,-5,-12,none,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,12,5,3,C#4,61,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,open,E4,-3.5,below primo,-6,-13,none,not assessed,short,step,-1,no,3,middle,no,no,no,
Sunless 01,12,5,4,F4,65,ɛ,Bozeman tenor-mezzo midpoint (stand-in),1.098,close,D#4,2.5,below primo,-2,-9,none,not assessed,short,leap-up,4,no,3,middle,no,no,no,
Sunless 01,12,5,5.5,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,leap-down,-3,no,3,middle,no,no,no,
Sunless 01,12,5,6,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,3,last,no,no,no,
Sunless 01,12,6,1,A4,69,u,Bozeman tenor-mezzo midpoint (stand-in),0.732,above,G3,14.5,inside,2,-5,none,not assessed,short,leap-up,7,yes,4,first,yes,no,no,highest of phrase
Sunless 01,12,6,2,F#4,66,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,1.5,below primo,-1,-8,none,not assessed,short,leap-down,-3,no,4,last,no,yes,yes,turning pitch 0 to 2 st below
Sunless 01,12,6,3,A4,69,u,Bozeman tenor-mezzo midpoint (stand-in),0.732,above,G3,14.5,inside,2,-5,none,not assessed,short,leap-up,3,yes,5,first,no,no,no,
Sunless 01,12,6,4,D5,74,o,Bozeman tenor-mezzo midpoint (stand-in),1.098,above,C#4,13.5,inside,7,0,none,not assessed,short,leap-up,5,no,5,middle,yes,yes,yes,highest of phrase
Sunless 01,12,6,5.5,G#4,68,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,3.5,inside,1,-6,none,not assessed,short,leap-down,-6,no,5,middle,no,yes,no,
Sunless 01,12,6,6,G#4,68,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,close,E4,3.5,inside,1,-6,none,not assessed,short,repeated,0,no,5,last,no,yes,no,
Sunless 01,12,7,1,G4,67,e,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,D4,5.5,inside,0,-7,none,not assessed,short,step,-1,yes,6,first,no,yes,no,
Sunless 01,12,7,2,G4,67,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,E4,2.5,inside,0,-7,none,not assessed,short,repeated,0,no,6,middle,no,yes,no,
Sunless 01,12,7,3,G4,67,u,Bozeman tenor-mezzo midpoint (stand-in),0.732,crossing,G3,12.5,inside,0,-7,none,not assessed,short,repeated,0,no,6,middle,no,yes,yes,crossing
Sunless 01,12,7,4,A#4,70,ɨ,derived from Bozeman tenor-mezzo (stand-in),1.098,crossing,A#3,12.11,inside,3,-4,none,not assessed,short,leap-up,3,no,6,middle,yes,no,no,highest of phrase; crossing
Sunless 01,12,7,5.5,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,leap-down,-8,no,6,middle,no,no,no,
Sunless 01,12,7,6,D4,62,ɑ,Bozeman tenor-mezzo midpoint (stand-in),0.366,open,E4,-2.5,below primo,-5,-12,none,not assessed,short,repeated,0,no,6,last,no,no,no,
Sunless 01,12,8,1,E4,64,u,Bozeman tenor-mezzo midpoint (stand-in),0.732,close,G3,9.5,below primo,-3,-10,none,not assessed,short,step,2,yes,7,first,no,no,no,
