song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,12,2,1,A4,69,o,Godin band midpoint,0.732,close,A#3,11.5,not assessed,not assessed,not assessed,none,not assessed,short,first note,,,0,first,no,not assessed,not assessed,
Sunless 01,12,2,2,A4,69,ɑ,Godin band midpoint,0.732,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,0,middle,no,not assessed,not assessed,
Sunless 01,12,2,3,A4,69,ʌ,Godin band midpoint,0.732,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,0,middle,no,not assessed,not assessed,
Sunless 01,12,2,4,A#4,70,ɛ,Godin band midpoint,0.732,close,F4,5.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,no,0,middle,yes,not assessed,not assessed,
Sunless 01,12,2,5,F4,65,ɑ,Godin band midpoint,0.732,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-5,no,0,middle,no,not assessed,not assessed,
Sunless 01,12,2,6,F4,65,ɑ,Godin band midpoint,0.366,close,F4,0.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,0,last,no,not assessed,not assessed,
Sunless 01,12,3,1,B4,71,i,Godin band midpoint,0.732,above,G3,16,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,6,yes,1,first,yes,not assessed,not assessed,
Sunless 01,12,3,2,G4,67,ɑ,Godin band midpoint,0.732,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,1,middle,no,not assessed,not assessed,
Sunless 01,12,3,3,G4,67,ɑ,Godin band midpoint,0.366,close,F4,2.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,1,last,no,not assessed,not assessed,
Sunless 01,12,3,4,C#5,73,i,Godin band midpoint,1.098,above,G3,18,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,6,yes,2,first,yes,not assessed,not assessed,
Sunless 01,12,3,5.5,A4,69,ɑ,Godin band midpoint,0.366,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-4,no,2,middle,no,not assessed,not assessed,
Sunless 01,12,3,6,A4,69,ɑ,Godin band midpoint,0.366,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,2,last,no,not assessed,not assessed,
Sunless 01,12,4,1,A#4,70,e,Godin band midpoint,0.732,above,A#3,12.5,not assessed,not assessed,not assessed,none,not assessed,short,step,1,yes,3,first,yes,not assessed,not assessed,
Sunless 01,12,4,2,E4,64,ɪ,Godin band midpoint,0.732,close,A#3,6.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-6,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,4,3,D4,62,o,Godin band midpoint,0.732,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,step,-2,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,4,4,A4,69,ɑ,Godin band midpoint,1.098,close,F4,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,7,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,4,5.5,E4,64,ɑ,Godin band midpoint,0.366,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-5,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,4,6,E4,64,ɑ,Godin band midpoint,0.732,open,F4,-0.5,not assessed,not assessed,not assessed,none,not assessed,short,repeated,0,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,5,1,G4,67,e,Godin band midpoint,0.732,close,A#3,9.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-up,3,no,3,middle,no,not assessed,not assessed,
Sunless 01,12,5,2,D4,62,ɪ,Godin band midpoint,0.732,close,A#3,4.5,not assessed,not assessed,not assessed,none,not assessed,short,leap-down,-5,no,3,middle,no,not assessed,not assessed,
