song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,14,2,1,B4,71,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,10.5,inside,7,-5,none,not assessed,short,first note,,,0,first,no,no,no,
Sunless 01,14,2,2,B4,71,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,6.5,inside,7,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,14,2,3,B4,71,ʌ,derived from Bozeman tenor-mezzo,0.732,close,E4,6.5,inside,7,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,14,2,4,C5,72,ɛ,Bozeman tenor-mezzo midpoint,0.732,close,D#4,9.5,inside,8,-4,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase
Sunless 01,14,2,5,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,2.5,inside,3,-9,none,not assessed,short,leap-down,-5,no,0,middle,no,no,no,
Sunless 01,14,2,6,G4,67,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,2.5,inside,3,-9,none,not assessed,short,repeated,0,no,0,last,no,no,no,
Sunless 01,14,3,1,C#5,73,i,Bozeman tenor-mezzo midpoint,0.732,above,E3,20.5,inside,9,-3,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase
Sunless 01,14,3,2,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.732,close,E4,4.5,inside,5,-7,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 01,14,3,3,A4,69,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,4.5,inside,5,-7,none,not assessed,short,repeated,0,no,1,last,no,no,no,
Sunless 01,14,3,4,D#5,75,i,Bozeman tenor-mezzo midpoint,1.098,above,E3,22.5,inside,11,-1,none,not assessed,short,leap-up,6,yes,2,first,yes,yes,yes,highest of phrase
Sunless 01,14,3,5.5,B4,71,ɑ,Bozeman tenor-mezzo midpoint,0.366,close,E4,6.5,inside,7,-5,none,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
