song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,17,2,1,D5,74,o,Bozeman soprano midpoint,0.732,crossing,D4,12.5,inside,11,-4,none,not assessed,short,first note,,,0,first,no,no,no,crossing
Sunless 01,17,2,2,D5,74,ɑ,Bozeman soprano midpoint,0.732,close,E4,9.5,inside,11,-4,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,17,2,3,D5,74,ʌ,derived from Bozeman soprano,0.732,close,E4,9.5,inside,11,-4,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,17,2,4,D#5,75,ɛ,Bozeman soprano midpoint,0.732,crossing,D#4,12.5,inside,12,-3,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase; crossing
Sunless 01,17,2,5,A#4,70,ɑ,Bozeman soprano midpoint,0.732,close,E4,5.5,inside,7,-8,none,not assessed,short,leap-down,-5,no,0,middle,no,no,no,
Sunless 01,17,2,6,A#4,70,ɑ,Bozeman soprano midpoint,0.366,close,E4,5.5,inside,7,-8,none,not assessed,short,repeated,0,no,0,last,no,no,no,
Sunless 01,17,3,1,E5,76,i,Bozeman soprano midpoint,0.732,above,G3,21.5,inside,13,-2,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase
Sunless 01,17,3,2,C5,72,ɑ,Bozeman soprano midpoint,0.732,close,E4,7.5,inside,9,-6,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 01,17,3,3,C5,72,ɑ,Bozeman soprano midpoint,0.366,close,E4,7.5,inside,9,-6,none,not assessed,short,repeated,0,no,1,last,no,no,no,
Sunless 01,17,3,4,F#5,78,i,Bozeman soprano midpoint,1.098,above,G3,23.5,inside,15,0,none,not assessed,short,leap-up,6,yes,2,first,yes,yes,yes,highest of phrase
Sunless 01,17,3,5.5,D5,74,ɑ,Bozeman soprano midpoint,0.366,close,E4,9.5,inside,11,-4,none,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
Sunless 01,17,3,6,D5,74,ɑ,Bozeman soprano midpoint,0.366,close,E4,9.5,inside,11,-4,none,not assessed,short,repeated,0,no,2,last,no,no,no,
Sunless 01,17,4,1,D#5,75,e,Bozeman soprano midpoint,0.732,above,D4,13.5,inside,12,-3,none,not assessed,short,step,1,yes,3,first,yes,no,no,highest of phrase
Sunless 01,17,4,2,A4,69,ɪ,derived from Bozeman soprano,0.732,close,D4,6.96,inside,6,-9,none,not assessed,short,leap-down,-6,no,3,middle,no,no,no,
Sunless 01,17,4,3,G4,67,o,Bozeman soprano midpoint,0.732,close,D4,5.5,inside,4,-11,none,not assessed,short,step,-2,no,3,middle,no,no,no,
Sunless 01,17,4,4,D5,74,ɑ,Bozeman soprano midpoint,1.098,close,E4,9.5,inside,11,-4,none,not assessed,short,leap-up,7,no,3,middle,no,no,no,
Sunless 01,17,4,5.5,A4,69,ɑ,Bozeman soprano midpoint,0.366,close,E4,4.5,inside,6,-9,none,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,17,4,6,A4,69,ɑ,Bozeman soprano midpoint,0.732,close,E4,4.5,inside,6,-9,none,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 01,17,5,1,C5,72,e,Bozeman soprano midpoint,0.732,close,D4,10.5,inside,9,-6,none,not assessed,short,leap-up,3,no,3,middle,no,no,no,
Sunless 01,17,5,2,G4,67,ɪ,derived from Bozeman soprano,0.732,close,D4,4.96,inside,4,-11,none,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,17,5,3,F#4,66,ɑ,Bozeman soprano midpoint,0.732,close,E4,1.5,inside,3,-12,none,not assessed,short,step,-1,no,3,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,17,5,4,A#4,70,ɛ,Bozeman soprano midpoint,1.098,close,D#4,7.5,inside,7,-8,none,not assessed,short,leap-up,4,no,3,middle,no,no,no,
Sunless 01,17,5,5.5,G4,67,ɑ,Bozeman soprano midpoint,0.366,close,E4,2.5,inside,4,-11,none,not assessed,short,leap-down,-3,no,3,middle,no,no,no,
Sunless 01,17,5,6,G4,67,ɑ,Bozeman soprano midpoint,0.366,close,E4,2.5,inside,4,-11,none,not assessed,short,repeated,0,no,3,last,no,no,no,
Sunless 01,17,6,1,D5,74,u,Bozeman soprano midpoint,0.732,above,G#3,18,inside,11,-4,none,not assessed,short,leap-up,7,yes,4,first,yes,no,no,highest of phrase
Sunless 01,17,6,2,B4,71,ɑ,Bozeman soprano midpoint,0.366,close,E4,6.5,inside,8,-7,none,not assessed,short,leap-down,-3,no,4,last,no,no,no,
Sunless 01,17,6,3,D5,74,u,Bozeman soprano midpoint,0.732,above,G#3,18,inside,11,-4,none,not assessed,short,leap-up,3,yes,5,first,no,no,no,
Sunless 01,17,6,4,G5,79,o,Bozeman soprano midpoint,1.098,above,D4,17.5,above secondo,16,1,none,not assessed,short,leap-up,5,no,5,middle,yes,yes,yes,highest of phrase
Sunless 01,17,6,5.5,C#5,73,ɑ,Bozeman soprano midpoint,0.366,close,E4,8.5,inside,10,-5,none,not assessed,short,leap-down,-6,no,5,middle,no,no,no,
Sunless 01,17,6,6,C#5,73,ɑ,Bozeman soprano midpoint,0.366,close,E4,8.5,inside,10,-5,none,not assessed,short,repeated,0,no,5,last,no,no,no,
Sunless 01,17,7,1,C5,72,e,Bozeman soprano midpoint,0.732,close,D4,10.5,inside,9,-6,none,not assessed,short,step,-1,yes,6,first,no,no,no,
Sunless 01,17,7,2,C5,72,ɑ,Bozeman soprano midpoint,0.732,close,E4,7.5,inside,9,-6,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,17,7,3,C5,72,u,Bozeman soprano midpoint,0.732,above,G#3,16,inside,9,-6,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,17,7,4,D#5,75,ɨ,derived from Bozeman soprano,1.098,above,C4,15.11,inside,12,-3,none,not assessed,short,leap-up,3,no,6,middle,yes,no,no,highest of phrase
Sunless 01,17,7,5.5,G4,67,ɑ,Bozeman soprano midpoint,0.366,close,E4,2.5,inside,4,-11,none,not assessed,short,leap-down,-8,no,6,middle,no,no,no,
Sunless 01,17,7,6,G4,67,ɑ,Bozeman soprano midpoint,0.366,close,E4,2.5,inside,4,-11,none,not assessed,short,repeated,0,no,6,last,no,no,no,
Sunless 01,17,8,1,A4,69,u,Bozeman soprano midpoint,0.732,above,G#3,13,inside,6,-9,none,not assessed,short,step,2,yes,7,first,no,no,no,
Sunless 01,17,8,2,F#4,66,ɪ,derived from Bozeman soprano,0.732,close,D4,3.96,inside,3,-12,none,not assessed,short,leap-down,-3,no,7,middle,no,no,no,
Sunless 01,17,8,3,G4,67,ɪ,derived from Bozeman soprano,0.732,close,D4,4.96,inside,4,-11,none,not assessed,short,step,1,no,7,middle,no,no,no,
Sunless 01,17,8,4,B4,71,ɛ,Bozeman soprano midpoint,0.732,close,D#4,8.5,inside,8,-7,none,not assessed,short,leap-up,4,no,7,middle,yes,no,no,highest of phrase
Sunless 01,17,8,5,G4,67,ɨ,derived from Bozeman soprano,0.366,close,C4,7.11,inside,4,-11,none,not assessed,short,leap-down,-4,no,7,last,no,no,no,
Sunless 01,17,8,6.5,F#4,66,ɑ,Bozeman soprano midpoint,0.366,close,E4,1.5,inside,3,-12,none,not assessed,short,step,-1,yes,8,first,no,no,no,turning pitch 0 to 2 st below
Sunless 01,17,9,1,A4,69,ɛ,Bozeman soprano midpoint,0.732,close,D#4,6.5,inside,6,-9,none,not assessed,short,leap-up,3,no,8,middle,no,no,no,
Sunless 01,17,9,2,F#4,66,ɑ,Bozeman soprano midpoint,0.732,close,E4,1.5,inside,3,-12,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,turning pitch 0 to 2 st below
Sunless 01,17,9,3,G4,67,ɑ,Bozeman soprano midpoint,0.732,close,E4,2.5,inside,4,-11,none,not assessed,short,step,1,no,8,middle,no,no,no,
Sunless 01,17,9,4,D5,74,ɛ,Bozeman soprano midpoint,1.098,close,D#4,11.5,inside,11,-4,none,not assessed,short,leap-up,7,no,8,middle,yes,no,no,highest of phrase
Sunless 01,17,9,5.5,B4,71,ɑ,Bozeman soprano midpoint,0.366,close,E4,6.5,inside,8,-7,none,not assessed,short,leap-down,-3,no,8,middle,no,no,no,
Sunless 01,17,9,6,B4,71,ɑ,Bozeman soprano midpoint,0.366,close,E4,6.5,inside,8,-7,none,not assessed,short,repeated,0,no,8,last,no,no,no,
Sunless 01,17,10,1,D#5,75,ɨ,derived from Bozeman soprano,0.732,above,C4,15.11,inside,12,-3,none,not assessed,short,leap-up,4,yes,9,first,no,no,no,
Sunless 01,17,10,2,A4,69,ɨ,derived from Bozeman soprano,0.732,close,C4,9.11,inside,6,-9,none,not assessed,short,leap-down,-6,no,9,middle,no,no,no,
Sunless 01,17,10,3,A#4,70,ɑ,Bozeman soprano midpoint,0.732,close,E4,5.5,inside,7,-8,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,17,10,4,C5,72,o,Bozeman soprano midpoint,0.732,close,D4,10.5,inside,9,-6,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,17,10,5,D5,74,ʌ,derived from Bozeman soprano,0.732,close,E4,9.5,inside,11,-4,none,not assessed,short,step,2,no,9,middle,no,no,no,
Sunless 01,17,10,6,D#5,75,ɑ,Bozeman soprano midpoint,0.732,close,E4,10.5,inside,12,-3,none,not assessed,short,step,1,no,9,middle,no,no,no,
Sunless 01,17,11,1,F5,77,e,Bozeman soprano midpoint,0.732,above,D4,15.5,inside,14,-1,none,not assessed,short,step,2,no,9,middle,yes,yes,yes,highest of phrase
Sunless 01,17,11,2,D#5,75,ɪ,derived from Bozeman soprano,0.732,above,D4,12.96,inside,12,-3,none,not assessed,short,step,-2,no,9,middle,no,no,no,
Sunless 01,17,11,3,F5,77,ɑ,Bozeman soprano midpoint,0.732,above,E4,12.5,inside,14,-1,none,not assessed,short,step,2,no,9,middle,yes,yes,yes,highest of phrase
Sunless 01,17,11,4,C#5,73,e,Bozeman soprano midpoint,1.098,close,D4,11.5,inside,10,-5,none,not assessed,short,leap-down,-4,no,9,middle,no,no,no,
Sunless 01,17,11,5.5,C#5,73,i,Bozeman soprano midpoint,0.366,above,G3,18.5,inside,10,-5,none,not assessed,short,repeated,0,no,9,middle,no,no,no,
Sunless 01,17,11,6,C#5,73,ɪ,derived from Bozeman soprano,0.366,close,D4,10.96,inside,10,-5,none,not assessed,short,repeated,0,no,9,last,no,no,no,
Sunless 01,17,12,1,C5,72,o,Bozeman soprano midpoint,0.732,close,D4,10.5,inside,9,-6,none,not assessed,short,step,-1,yes,10,first,no,no,no,
Sunless 01,17,12,2,A4,69,ɪ,derived from Bozeman soprano,0.732,close,D4,6.96,inside,6,-9,none,not assessed,short,leap-down,-3,no,10,middle,no,no,no,
Sunless 01,17,12,3,C5,72,ɑ,Bozeman soprano midpoint,0.732,close,E4,7.5,inside,9,-6,none,not assessed,short,leap-up,3,no,10,middle,no,no,no,
Sunless 01,17,12,4,D#5,75,i,Bozeman soprano midpoint,0.732,above,G3,20.5,inside,12,-3,none,not assessed,short,leap-up,3,no,10,middle,yes,no,no,highest of phrase
Sunless 01,17,12,5,C5,72,ɨ,derived from Bozeman soprano,0.366,crossing,C4,12.11,inside,9,-6,none,not assessed,short,leap-down,-3,no,10,last,no,no,no,crossing
Sunless 01,17,12,6,C5,72,ɑ,Bozeman soprano midpoint,0.732,close,E4,7.5,inside,9,-6,none,not assessed,short,repeated,0,yes,11,first,no,no,no,
Sunless 01,17,13,1,A4,69,ɑ,Bozeman soprano midpoint,0.732,close,E4,4.5,inside,6,-9,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
Sunless 01,17,13,2,G4,67,ɪ,derived from Bozeman soprano,0.732,close,D4,4.96,inside,4,-11,none,not assessed,short,step,-2,no,11,middle,no,no,no,
Sunless 01,17,13,3,A4,69,ɑ,Bozeman soprano midpoint,0.732,close,E4,4.5,inside,6,-9,none,not assessed,short,step,2,no,11,middle,no,no,no,
Sunless 01,17,13,4,D#5,75,o,Bozeman soprano midpoint,1.098,above,D4,13.5,inside,12,-3,none,not assessed,short,leap-up,6,no,11,middle,yes,no,no,highest of phrase
Sunless 01,17,13,5.5,C5,72,ʌ,derived from Bozeman soprano,0.366,close,E4,7.5,inside,9,-6,none,not assessed,short,leap-down,-3,no,11,middle,no,no,no,
