song,shift,bar,beat,pitch,midi,vowel,fR1_source,seconds,fR1_band,turning_pitch,semitones_from_turning,passaggio,semitones_to_primo,semitones_to_secondo,fR1_rung,fR2_rung,held,approach,approach_semitones,after_rest,phrase_index,phrase_position,highest_of_phrase,p1a_near,p1a_fires,p1a_clauses
Sunless 01,5,2,1,D4,62,o,Bozeman tenor-mezzo midpoint,0.732,close,C#4,1.5,inside,0,-5,none,not assessed,short,first note,,,0,first,no,no,no,turning pitch 0 to 2 st below
Sunless 01,5,2,2,D4,62,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-2.5,inside,0,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,5,2,3,D4,62,ʌ,derived from Bozeman tenor-mezzo,0.732,open,E4,-2.5,inside,0,-5,none,not assessed,short,repeated,0,no,0,middle,no,no,no,
Sunless 01,5,2,4,D#4,63,ɛ,Bozeman tenor-mezzo midpoint,0.732,close,D#4,0.5,inside,1,-4,none,not assessed,short,step,1,no,0,middle,yes,no,no,highest of phrase; turning pitch 0 to 2 st below
Sunless 01,5,2,5,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,leap-down,-5,no,0,middle,no,no,no,
Sunless 01,5,2,6,A#3,58,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-6.5,below primo,-4,-9,none,not assessed,short,repeated,0,no,0,last,no,no,no,
Sunless 01,5,3,1,E4,64,i,Bozeman tenor-mezzo midpoint,0.732,crossing,E3,11.5,inside,2,-3,none,not assessed,short,leap-up,6,yes,1,first,yes,no,no,highest of phrase; crossing
Sunless 01,5,3,2,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,leap-down,-4,no,1,middle,no,no,no,
Sunless 01,5,3,3,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,repeated,0,no,1,last,no,no,no,
Sunless 01,5,3,4,F#4,66,i,Bozeman tenor-mezzo midpoint,1.098,above,E3,13.5,inside,4,-1,none,not assessed,short,leap-up,6,yes,2,first,yes,yes,yes,highest of phrase
Sunless 01,5,3,5.5,D4,62,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-2.5,inside,0,-5,none,not assessed,short,leap-down,-4,no,2,middle,no,no,no,
Sunless 01,5,3,6,D4,62,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-2.5,inside,0,-5,none,not assessed,short,repeated,0,no,2,last,no,no,no,
Sunless 01,5,4,1,D#4,63,e,Bozeman tenor-mezzo midpoint,0.732,close,D4,1.5,inside,1,-4,none,not assessed,short,step,1,yes,3,first,yes,no,no,highest of phrase; turning pitch 0 to 2 st below
Sunless 01,5,4,2,A3,57,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-5.04,below primo,-5,-10,none,not assessed,short,leap-down,-6,no,3,middle,no,no,no,
Sunless 01,5,4,3,G3,55,o,Bozeman tenor-mezzo midpoint,0.732,open,C#4,-5.5,below primo,-7,-12,none,not assessed,short,step,-2,no,3,middle,no,no,no,
Sunless 01,5,4,4,D4,62,ɑ,Bozeman tenor-mezzo midpoint,1.098,open,E4,-2.5,inside,0,-5,none,not assessed,short,leap-up,7,no,3,middle,no,no,no,
Sunless 01,5,4,5.5,A3,57,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-7.5,below primo,-5,-10,3,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,5,4,6,A3,57,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-7.5,below primo,-5,-10,3,not assessed,short,repeated,0,no,3,middle,no,no,no,
Sunless 01,5,5,1,C4,60,e,Bozeman tenor-mezzo midpoint,0.732,open,D4,-1.5,below primo,-2,-7,none,not assessed,short,leap-up,3,no,3,middle,no,no,no,
Sunless 01,5,5,2,G3,55,ɪ,derived from Bozeman tenor-mezzo,0.732,open,D4,-7.04,below primo,-7,-12,3,not assessed,short,leap-down,-5,no,3,middle,no,no,no,
Sunless 01,5,5,3,F#3,54,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-10.5,below primo,-8,-13,none,not assessed,short,step,-1,no,3,middle,no,no,no,
Sunless 01,5,5,4,A#3,58,ɛ,Bozeman tenor-mezzo midpoint,1.098,open,D#4,-4.5,below primo,-4,-9,none,not assessed,short,leap-up,4,no,3,middle,no,no,no,
Sunless 01,5,5,5.5,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,leap-down,-3,no,3,middle,no,no,no,
Sunless 01,5,5,6,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,repeated,0,no,3,last,no,no,no,
Sunless 01,5,6,1,D4,62,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,7.5,inside,0,-5,none,not assessed,short,leap-up,7,yes,4,first,yes,no,no,highest of phrase
Sunless 01,5,6,2,B3,59,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-5.5,below primo,-3,-8,none,not assessed,short,leap-down,-3,no,4,last,no,no,no,
Sunless 01,5,6,3,D4,62,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,7.5,inside,0,-5,none,not assessed,short,leap-up,3,yes,5,first,no,no,no,
Sunless 01,5,6,4,G4,67,o,Bozeman tenor-mezzo midpoint,1.098,close,C#4,6.5,inside,5,0,none,not assessed,short,leap-up,5,no,5,middle,yes,yes,yes,highest of phrase
Sunless 01,5,6,5.5,C#4,61,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-3.5,below primo,-1,-6,none,not assessed,short,leap-down,-6,no,5,middle,no,no,no,
Sunless 01,5,6,6,C#4,61,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-3.5,below primo,-1,-6,none,not assessed,short,repeated,0,no,5,last,no,no,no,
Sunless 01,5,7,1,C4,60,e,Bozeman tenor-mezzo midpoint,0.732,open,D4,-1.5,below primo,-2,-7,none,not assessed,short,step,-1,yes,6,first,no,no,no,
Sunless 01,5,7,2,C4,60,ɑ,Bozeman tenor-mezzo midpoint,0.732,open,E4,-4.5,below primo,-2,-7,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,5,7,3,C4,60,u,Bozeman tenor-mezzo midpoint,0.732,close,G3,5.5,below primo,-2,-7,none,not assessed,short,repeated,0,no,6,middle,no,no,no,
Sunless 01,5,7,4,D#4,63,ɨ,derived from Bozeman tenor-mezzo,1.098,close,A#3,5.11,inside,1,-4,none,not assessed,short,leap-up,3,no,6,middle,yes,no,no,highest of phrase
Sunless 01,5,7,5.5,G3,55,ɑ,Bozeman tenor-mezzo midpoint,0.366,open,E4,-9.5,below primo,-7,-12,none,not assessed,short,leap-down,-8,no,6,middle,no,no,no,
